gemeenteId;provincieId;taalCodeProvincieNaam;provincieNaam
363;6;fr;Hainaut
364;6;nl;Henegouwen
364;6;fr;Hainaut
365;6;nl;Henegouwen
365;6;fr;Hainaut
366;6;nl;Henegouwen
366;6;fr;Hainaut
367;6;nl;Henegouwen
367;6;fr;Hainaut
368;6;nl;Henegouwen
368;6;fr;Hainaut
369;6;nl;Henegouwen
369;6;fr;Hainaut
370;6;nl;Henegouwen
370;6;fr;Hainaut
371;6;nl;Henegouwen
371;6;fr;Hainaut
372;6;nl;Henegouwen
372;6;fr;Hainaut
373;6;nl;Henegouwen
373;6;fr;Hainaut
374;6;nl;Henegouwen
374;6;fr;Hainaut
375;6;nl;Henegouwen
375;6;fr;Hainaut
376;6;nl;Henegouwen
376;6;fr;Hainaut
377;6;nl;Henegouwen
377;6;fr;Hainaut
378;6;nl;Henegouwen
378;6;fr;Hainaut
379;6;nl;Henegouwen
379;6;fr;Hainaut
380;7;nl;Luik
380;7;fr;Liège
381;7;nl;Luik
381;7;fr;Liège
382;7;nl;Luik
382;7;fr;Liège
383;7;nl;Luik
383;7;fr;Liège
384;7;nl;Luik
384;7;fr;Liège
385;7;nl;Luik
385;7;fr;Liège
386;7;nl;Luik
386;7;fr;Liège
387;7;nl;Luik
387;7;fr;Liège
388;7;nl;Luik
388;7;fr;Liège
389;7;nl;Luik
389;7;fr;Liège
390;7;nl;Luik
390;7;fr;Liège
391;7;nl;Luik
391;7;fr;Liège
392;7;nl;Luik
392;7;fr;Liège
393;7;nl;Luik
393;7;fr;Liège
394;7;nl;Luik
394;7;fr;Liège
395;7;nl;Luik
395;7;fr;Liège
396;7;nl;Luik
396;7;fr;Liège
397;7;nl;Luik
397;7;fr;Liège
398;7;nl;Luik
398;7;fr;Liège
399;7;nl;Luik
399;7;fr;Liège
400;7;nl;Luik
400;7;fr;Liège
401;7;nl;Luik
401;7;fr;Liège
402;7;nl;Luik
402;7;fr;Liège
403;7;nl;Luik
403;7;fr;Liège
404;7;nl;Luik
404;7;fr;Liège
405;7;nl;Luik
405;7;fr;Liège
406;7;nl;Luik
406;7;fr;Liège
407;7;nl;Luik
407;7;fr;Liège
408;7;nl;Luik
408;7;fr;Liège
409;7;nl;Luik
409;7;fr;Liège
410;7;nl;Luik
410;7;fr;Liège
411;7;nl;Luik
411;7;fr;Liège
412;7;nl;Luik
412;7;fr;Liège
413;7;nl;Luik
413;7;fr;Liège
414;7;nl;Luik
414;7;fr;Liège
415;7;nl;Luik
415;7;fr;Liège
416;7;nl;Luik
416;7;fr;Liège
417;7;nl;Luik
417;7;fr;Liège
418;7;nl;Luik
418;7;fr;Liège
419;7;nl;Luik
419;7;fr;Liège
420;7;nl;Luik
420;7;fr;Liège
421;7;nl;Luik
421;7;fr;Liège
422;7;nl;Luik
422;7;fr;Liège
423;7;nl;Luik
423;7;fr;Liège
424;7;nl;Luik
424;7;fr;Liège
425;7;nl;Luik
425;7;fr;Liège
426;7;nl;Luik
426;7;fr;Liège
427;7;nl;Luik
427;7;fr;Liège
428;7;nl;Luik
428;7;fr;Liège
429;7;nl;Luik
429;7;fr;Liège
430;7;nl;Luik
430;7;fr;Liège
431;7;nl;Luik
431;7;fr;Liège
432;7;nl;Luik
432;7;fr;Liège
433;7;nl;Luik
433;7;fr;Liège
434;7;nl;Luik
434;7;fr;Liège
435;7;nl;Luik
435;7;fr;Liège
436;7;nl;Luik
436;7;fr;Liège
437;7;nl;Luik
437;7;fr;Liège
438;7;nl;Luik
438;7;fr;Liège
439;7;nl;Luik
439;7;fr;Liège
440;7;nl;Luik
440;7;fr;Liège
441;7;nl;Luik
441;7;fr;Liège
442;7;nl;Luik
442;7;fr;Liège
443;7;nl;Luik
443;7;fr;Liège
444;7;nl;Luik
444;7;fr;Liège
445;7;nl;Luik
445;7;fr;Liège
446;7;nl;Luik
446;7;fr;Liège
447;7;nl;Luik
447;7;fr;Liège
448;7;nl;Luik
448;7;fr;Liège
449;7;nl;Luik
449;7;fr;Liège
450;7;nl;Luik
450;7;fr;Liège
451;7;nl;Luik
451;7;fr;Liège
452;7;nl;Luik
452;7;fr;Liège
453;7;nl;Luik
453;7;fr;Liège
454;7;nl;Luik
454;7;fr;Liège
455;7;nl;Luik
455;7;fr;Liège
456;7;nl;Luik
456;7;fr;Liège
457;7;nl;Luik
457;7;fr;Liège
458;7;nl;Luik
458;7;fr;Liège
459;7;nl;Luik
459;7;fr;Liège
460;7;nl;Luik
460;7;fr;Liège
461;7;nl;Luik
461;7;fr;Liège
462;7;nl;Luik
462;7;fr;Liège
463;7;nl;Luik
463;7;fr;Liège
464;8;nl;Limburg
464;8;fr;Limbourg
465;8;nl;Limburg
465;8;fr;Limbourg
466;8;nl;Limburg
466;8;fr;Limbourg
467;8;nl;Limburg
467;8;fr;Limbourg
468;8;nl;Limburg
468;8;fr;Limbourg
469;8;nl;Limburg
469;8;fr;Limbourg
470;8;nl;Limburg
470;8;fr;Limbourg
471;8;nl;Limburg
471;8;fr;Limbourg
472;8;nl;Limburg
472;8;fr;Limbourg
473;8;nl;Limburg
473;8;fr;Limbourg
474;8;nl;Limburg
474;8;fr;Limbourg
475;8;nl;Limburg
475;8;fr;Limbourg
476;8;nl;Limburg
476;8;fr;Limbourg
477;8;nl;Limburg
477;8;fr;Limbourg
478;8;nl;Limburg
478;8;fr;Limbourg
479;8;nl;Limburg
479;8;fr;Limbourg
480;8;nl;Limburg
480;8;fr;Limbourg
481;8;nl;Limburg
481;8;fr;Limbourg
482;8;nl;Limburg
482;8;fr;Limbourg
483;8;nl;Limburg
483;8;fr;Limbourg
484;8;nl;Limburg
484;8;fr;Limbourg
485;8;nl;Limburg
485;8;fr;Limbourg
486;8;nl;Limburg
486;8;fr;Limbourg
487;8;nl;Limburg
487;8;fr;Limbourg
488;8;nl;Limburg
488;8;fr;Limbourg
489;8;nl;Limburg
489;8;fr;Limbourg
490;8;nl;Limburg
490;8;fr;Limbourg
